school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
Abdulvehab Ilhamija,17.916521072387695,44.186248779296875,Primary,BIH,54b1981c-1c0b-3151-b605-ed527402dc39,
Abdulvehab Ilhamija,17.916519165039062,44.186248779296875,Primary,BIH,fd84c6b5-d453-3150-a153-329dace1e1a6,
Abdulvehab Ilhamija,17.916519165039062,44.186248779296875,Primary,BIH,44a3c8a6-cce7-3c23-a8d6-6f0685be1850,
Abdulvehab Ilhamija,17.916519165039062,44.186248779296875,Primary,BIH,920ef8a2-03ad-3b7f-bc5a-a6b2a12328be,
ABDULVEHAB ILHAMIJA,17.916519165039062,44.186248779296875,Primary,BIH,938db353-f2bf-3ad5-8c18-9a30a4818a34,
"Centar za odgoj, obrazovanje i rehabilitaciju ""Vladimir Nazor",18.384782791137695,43.84584045410156,Primary,BIH,180f7cdf-18fd-34b9-a840-e3efe774f581,
DONJA LUČKA,15.891079902648926,45.073150634765625,Primary,BIH,3f188a3b-a00b-3593-80fc-76e024a3e807,
Druga gimnazija Sarajevo,18.412649154663086,43.86143493652344,Other,BIH,c2d6ce0b-b17f-3ac8-a720-834bd55b5b53,
Druga osnovna škola Široki Brijeg,17.60970687866211,43.37345504760742,Primary,BIH,dc2e58bf-124a-30dc-9b38-758956c0a23e,
"Druga osnovna škola Široki Brijeg, područna škola Dobrkovići",17.551265716552734,43.40106964111328,Primary,BIH,f487d0f9-264e-31dc-a7c4-0b1a59e98cc4,
"Druga osnovna škola Široki Brijeg, područna škola Donji Crnač",17.568803787231445,43.423213958740234,Primary,BIH,f3fea9a9-0a04-3ba1-8b0d-b33b5b3e15da,
"Druga osnovna škola Široki Brijeg, područna škola Gornji Crnač",17.586570739746094,43.42882537841797,Primary,BIH,874ac70f-cfbf-37a4-8dfa-16a489ab7f31,
"Druga osnovna škola Široki Brijeg, područna škola Izbično",17.548240661621094,43.441627502441406,Primary,BIH,1fe8bad3-9d3a-37d4-ab7c-60698dcf6506,
"Druga osnovna škola Široki Brijeg, područna škola Knešpolje",17.631486892700195,43.36789321899414,Primary,BIH,5f0d22d3-a31f-308b-8cf1-753c721b68d3,
"Druga osnovna škola Široki Brijeg, područna škola Provo",17.605270385742188,43.374088287353516,Primary,BIH,ffbb5b08-2356-332c-8d8b-20801fa1a19e,
