school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
'64' SECONDARY SCHOOL,35.25920104980469,0.5182200074195862,Secondary,KEN,bf651987-27d2-3fe1-aae9-1ff3aef2324f,
ABAKAILE,40.10120391845703,0.07450062036514282,Primary,KEN,c2f348ab-e259-3e10-85b5-ea526f52f813,
ABAKORE MIXED DAY SECONDARY SCHOOL,39.703399658203125,0.626990020275116,Secondary,KEN,f4947b96-23bc-3b6e-adfa-c16451ecc281,
ABC KAMBUSU SECONDARY SCHOOL,37.41426467895508,-1.1599043607711792,Secondary,KEN,d1a7616b-efae-3a47-9594-ba071f07f4c9,
ABC KANZAUWU MIXED DAY SECONDARY SCHOOL,38.12459945678711,-1.551609992980957,Secondary,KEN,f881437e-2d92-3bad-915b-93cecc7a5b24,
ABC KATHIANI ACADEMY,37.32342529296875,-1.4142379760742188,Primary,KEN,18a19f75-1b97-3bc6-a73a-e5bfbe282f38,
ABC KIMWELI SECONDARY SCHOOL,38.26789855957031,-2.1325600147247314,Secondary,KEN,6f682b5a-f31d-3a85-913f-226309b7d68f,
ABC MUUNGUU SECONDARY SCHOOL,38.994239807128906,0.7795799970626831,Secondary,KEN,8e691de4-1288-3ec1-835a-1283adca7971,
ABC NGAAMBA SECONDARY SCHOOL,37.23617935180664,1.908120036125183,Secondary,KEN,d38f8cc4-0ebd-349e-95b4-c109ca5aa941,
ABERDARE F K ACADEMY,36.57823181152344,0.07705020159482956,Primary,KEN,6b062085-114b-3dd7-92a7-4756e7797cf0,
ABERDARE GIRLS' SECONDARY SCHOOL,36.65987014770508,-0.7254210114479065,Secondary,KEN,1c657eb8-3612-3ec5-96b4-b58632615098,
ABERDARE RANGES SECONDARY SCHOOL,36.5,-0.5400000214576721,Secondary,KEN,4f9febb7-f637-3149-9f53-773576622a47,
ABIGAIL SCHOOL,34.79399871826172,0.6079999804496765,Primary,KEN,76c176bb-c766-31da-8460-e51660319735,
ABORE PRIMARY SCHOOL,39.974849700927734,0.7929520010948181,Primary,KEN,5bacb69d-c98c-356b-860d-acf7d4b9837d,
ABOSI SECONDARY SCHOOL,35.10139846801758,-1.0154000520706177,Secondary,KEN,cebe2725-5991-3dcc-93b2-5b7de391b3bd,
ABRAR HIGH SCHOOL,35.35060119628906,0.4818800091743469,Secondary,KEN,f3ddaec3-27fe-3368-8406-77ff915d2c23,
ABRASSA ACADEMY,38.54631423950195,3.6024510860443115,Primary,KEN,cdb6e9ac-f1bd-32e4-baae-bc58f595626a,
ACACIA CREST SENIOR SCHOOL,36.91624069213867,-1.5274900197982788,Secondary,KEN,0d3ddba2-6ab1-335d-a756-d30708a8f931,
A C BUTONGE HIGH SCHOOL,34.47679901123047,0.7148900032043457,Secondary,KEN,9e8ae1a4-7d6c-3b8e-84a1-1cdce2180af8,
ACHEGO GIRLS SECONDARY  SCHOOL,35.191001892089844,-0.07670000195503235,Secondary,KEN,74d73623-4143-3626-a179-32c083d7f7e3,
ACHEGO MIXED SECONDARY SCHOOL,34.588199615478516,-0.515500009059906,Secondary,KEN,ba4cef14-b09d-3d54-a8e0-432ec1920cf6,
ACHIEVERS STAR ACADEMY CHEBOLE,35.21500015258789,0.7468900084495544,Primary,KEN,0804f66a-4106-3ae7-b8d6-2adb5db8e6a1,
"ACHIYA ECHAKARA HIGH SCHOOL, KAMURIAI",34.29753875732422,0.6633300185203552,Secondary,KEN,5544234a-5ed6-39dd-a9ca-5fa678d37f0a,
ACK ATUREI SECONDARY SCHOOL,35.19341278076172,0.48168158531188965,Secondary,KEN,f0b7d436-4694-33c1-a632-18ee3e41ae47,
ACK BISHOP KALU MIXED DAY SECONDARY SCHOOL,40.027809143066406,-3.228410005569458,Secondary,KEN,6538bfd3-8e31-3d56-b818-7b63310cf1e5,
ACK CANON MWERI MEMORIAL SECONDARY SCHOOL,40.116817474365234,-3.221879005432129,Secondary,KEN,e4f62dd3-e144-3eb8-a1ce-3dc5e6f9b91f,
A.C.K CHANGARA SECONDARY SCHOOL,34.418270111083984,0.7259100079536438,Secondary,KEN,5dcbf262-8f99-3a74-a0c2-85a58a321097,
ACK CHELEKEI SECONDARY SCHOOL,34.733299255371094,0.7342000007629395,Secondary,KEN,e3d0f21d-92b9-387b-a810-5426260c8204,
ACK CHEMASARI,34.33320236206055,0.6801288723945618,Unknown,KEN,50b4a83a-0dbe-3a9e-9ebe-99c46737c2b5,
ACK ENA,37.552101135253906,-0.4781999886035919,Primary,KEN,8ce6663c-05f7-36b6-b1c3-2e26b9a09bfe,
A .C .K  ESHIHAKA SECONDARY SCHOOL,34.46589660644531,0.2319280058145523,Secondary,KEN,c298d054-e6ec-34da-9dae-4c3dcada7fc9,
ACK GIKUNI SECONDARY SCHOOL,36.70063400268555,-1.2000789642333984,Secondary,KEN,d935c304-3660-3fa5-942d-c0422e252784,
A.C.K. GOOD SAMARITAN,36.714900970458984,-1.3229000568389893,Primary,KEN,2ce0e2ba-4b9f-3607-a6a8-d4082eb438a5,
ACK KAANWA SECONDARY SCHOOL,37.72119903564453,0.32710000872612,Secondary,KEN,901016aa-abe0-3903-ac9d-aab4b461dc7a,
ACK KAHUMBU SECONDARY SCHOOL,37.05619812011719,0.8432000279426575,Secondary,KEN,aff6d190-52d5-332d-876a-0369b431a546,
ACK KAIBEIYO PRIMARY SCHOOL,35.222320556640625,0.26273998618125916,Primary,KEN,dd0606b4-3ccc-3b71-9818-0e96513c24f2,
ACK KAMBARU DAY MIXED SECONDARY SCHOOL,37.612159729003906,0.5636199712753296,Secondary,KEN,139e2a8f-7f77-35d0-8900-aeb3542470b5,
ACK KAMUTU SECONDARY SCHOOL,37.83549880981445,-0.4708099961280823,Secondary,KEN,ab4cb1e0-f6ab-3220-9558-f683708b0abc,
ACK KAPOROWO MIXED DAY SECONDARY SCHOOL,35.34939956665039,1.292639970779419,Secondary,KEN,89f6939b-abf6-36de-96b1-1ce392f324fa,
ACK KARURA SECONDARY SCHOOL,36.72700119018555,1.1912699937820435,Secondary,KEN,12f56495-946f-3bab-8c45-ef36a056a425,
A.C.K KATHANJURI MIXED SECONDARY SCHOOL,37.611541748046875,-0.42361000180244446,Secondary,KEN,9097f265-7236-3fbd-bd27-fad77396dc90,
A C K KIANGOCI,37.46754455566406,-0.46740248799324036,Primary,KEN,82739cdf-8c98-3daa-8095-db7b12b9486a,
ACK KIANJOKOMA,37.5024528503418,-0.40122190117836,Primary,KEN,6e5883a3-01bb-3d15-8cda-0cae84e1ab2c,
ACK KITEEI SECONDARY SCHOOL,37.80082321166992,-2.088900089263916,Secondary,KEN,6a715cae-059c-305d-af2d-abd4853bd9a2,
ACK KIU RIVER SECONDARY SCHOOL,36.8686408996582,-1.1693719625473022,Secondary,KEN,b10ad490-88e1-303e-982a-ce73a64612eb,
A C K MALIKINI SECONDARY SCHOOL,37.42596435546875,-0.8385800123214722,Secondary,KEN,b4f4e0a2-09aa-31e7-a4dc-671e3973a49d,
ACK MARALAL SCHOOL,36.69401168823242,1.1031800508499146,Primary,KEN,e0821243-38d3-3c47-bb3d-78d99b33b24f,
A.C.K MILIMANI GIRLS,34.43920135498047,0.23002199828624725,Secondary,KEN,d7e68ab4-cef9-3083-a45a-16be7073cfba,
A.C.K. MUSOMA MIXED SECONDARY SCHOOL,33.99800109863281,0.0851999968290329,Secondary,KEN,03f6a727-bfc5-32f0-9b07-cc82fac80672,
ACK NDUMARI DAY SECONDARY SCHOOL,37.64929962158203,-0.5079699754714966,Secondary,KEN,4e982f94-58e2-36c4-adae-dae37b30ada9,
A.C.K NYAGARI MIXED DAY SECONDARY SCHOOL,37.620540618896484,-0.44734999537467957,Secondary,KEN,75a13c58-2a84-3f83-84d5-36ddefc12660,
A C K NYATHUNA SECONDARY SCHOOL,36.6833381652832,-1.186400055885315,Secondary,KEN,d835e67a-29df-388c-923f-bea813a11c24,
ACK RAE GIRLS HIGH SCHOOL,34.954200744628906,-0.2414100021123886,Secondary,KEN,77f4291f-3670-3cac-951f-fbdda58aa11d,
ACK RIANJERU MIXED SECONDARY SCHOOL,37.499000549316406,-0.6168000102043152,Secondary,KEN,830fa895-c2e2-3364-896c-ae407b10eebc,
ACK ST ANDREWS TENDWO ACADEMY,34.995540618896484,0.042410001158714294,Primary,KEN,18098378-de19-3a06-a41f-83a4e2df9c78,
ACK ST. BARNABAS GACICO,37.647098541259766,-0.46682998538017273,Primary,KEN,be396ff2-0e5e-3e7a-95ee-c8768356bb7b,
A.C.K. ST. BARNABAS KIPKENYO SECONDARY SCHOOL,35.212379455566406,0.5277400016784668,Secondary,KEN,4988a741-dde4-370f-8a33-fc682f3e1234,
A.C.K ST.BARTHOLOMEW SECONDARY SCHOOL,38.53300094604492,-3.3896501064300537,Secondary,KEN,0cd97658-d523-3c59-a9c2-2a1c2c127c41,
A.C.K ST. JAMES MATULANI SECONDARY SCHOOL,37.814300537109375,-1.5649000406265259,Secondary,KEN,854bb5b4-b4b2-33ac-b35e-44d12a5f01f1,
ACK ST. JOHN SIGOWET SECONDARY SCHOOL,35.217498779296875,0.5888000130653381,Secondary,KEN,4363f483-d656-35cc-bdbf-fd6c4967fa76,
ACK ST. JOHN'S KHWISERO SECONDARY SCHOOL,34.596981048583984,0.16744999587535858,Secondary,KEN,7cd89529-788e-3990-971d-9071053db88b,
ACK ST. JOHNS KISEKINI SECONDARY SCHOOL,37.380001068115234,-1.8036999702453613,Secondary,KEN,4da6c0b7-c668-3542-9588-8212d1a19e38,
A.C.K ST. JOSEPH'S MAAUELI SECONDARY SCHOOL,37.451698303222656,0.4959999918937683,Secondary,KEN,2f887ce0-4f91-367a-96cd-80bc1b3a47f6,
A.C.K ST LUKE PRIMARY  SCHOOL- BIRIBIRIET,35.17900085449219,0.3898000121116638,Primary,KEN,21b2fb61-6986-3185-845a-1a26f142f307,
A.C.K  ST. LUKE'S KAVIA SECONDARY SCHOOL,38.0817985534668,-1.4371000528335571,Secondary,KEN,7790a0f7-3833-37d6-a7e0-a309558583d8,
A.C.K ST MARY'S SCHOOL THINDIGUA,36.848079681396484,-1.2093420028686523,Primary,KEN,01a54fd0-8e64-35f1-9ac1-5bec39e594a6,
ACK ST. MARY'S SECONDARY SCHOOL-MUKANGU,37.545875549316406,0.7367079854011536,Secondary,KEN,4a732f3c-6d15-31f4-806a-b3e329867044,
A.C.K  ST. MARY'S SHITOTO GIRLS' SECONDARY SCHOOL,34.576480865478516,0.3154299855232239,Secondary,KEN,f5a6c86a-415d-3c1c-bf1c-4bc9bb02c820,
ACK ST.PAUL'S MAKANDUNE SECONDARY SCHOOL,37.819400787353516,0.08110000193119049,Secondary,KEN,5090d37d-a299-3a84-8a9a-7233c3f661c3,
A.C.K ST. PETER'S MUTIGE ACADEMY,37.31800079345703,-0.46000000834465027,Primary,KEN,cb7efcb2-626e-3c69-ae70-c400de13b596,
ACK ST.PHILIP KIPSOEN SECONDARY SCHOOL,35.76900100708008,1.1150000095367432,Secondary,KEN,c031db03-cb31-30d5-a061-fa9f3737bc0c,
ACK ST. STEPHENS KIMA SECONDARY SCHOOL,37.32733154296875,-1.8339300155639648,Secondary,KEN,e8c7bf8d-4ac6-3e5b-ab6d-0f8e899148d9,
ACK ST. STEPHENS NAMANDA SECONDARY SCHOOL,34.85430145263672,0.8190299868583679,Secondary,KEN,9871b933-3dd8-3b7d-8f48-8b8fa292234a,
ACK TEGAT,35.096031188964844,0.20122000575065613,Primary,KEN,ec30e10c-3d4e-3030-b13a-eb326450e13e,
ACK THE GOOD SHEPHERD KIBABII SECONDARY SCHOOL,34.625999450683594,0.5489000082015991,Secondary,KEN,760fb658-151e-3fb9-a9de-a6e52a84c024,
ACK THIKA MEMORIAL CHURCH SCHOOL,37.06388854980469,-1.0234400033950806,Primary,KEN,fcf3c3e0-fc17-3392-b36c-00e1894053ae,
ACK UKIA MIXED SECONDARY SCHOOL,37.500301361083984,-1.7638585567474365,Secondary,KEN,6f614ae0-4acc-37ce-b762-b11d336669e5,
ACK WOTE TOWNSHIP,37.62382125854492,-1.7804700136184692,Primary,KEN,25d47bf2-0692-3aca-aa51-1ef1022d795c,
