school_name,longitude,latitude,education_level,country_iso3_code,giga_id_school,school_data_source
AA KHUMALO PRIMARY SCHOOL,31.096582412719727,-25.341949462890625,Primary,ZAF,3359113d-35e3-306c-be07-0239db410890,
AALWYN INTERMEDIÊRE SKOOL,23.726499557495117,-28.79785919189453,Primary,ZAF,ff9ee05a-4ca5-3362-8b6b-64a89ea5d750,
AAN DE DOORNS NGK PRIMﾊRE SKOOL,19.493616104125977,-33.69753646850586,Primary,ZAF,45e2f959-3a87-3080-8ed6-8d6628144a9a,
AARON GQADU PRIMARY SCHOOL,25.585079193115234,-33.86708068847656,Primary,ZAF,4b6f0937-e35c-3ef2-ba7f-8155663e60a1,
AARON LETSAPA PRIMARY,25.30953025817871,-26.283100128173828,Primary,ZAF,b7bca2c1-e4de-307b-8c72-dfb6182a696e,
ABAMBO AGRICULTURAL SCHOOL,26.685569763183594,-32.111148834228516,Secondary,ZAF,10f9c258-9251-303b-bb1d-d0b5ef0c9834,
ABAMBO PRIMARY SCHOOL,30.7877,-29.7391,Primary,ZAF,29c83803-eedd-33fa-9677-ca778aa7025a,
Abana Primary,27.32643,-25.620707,Primary,ZAF,e9fcb611-f62d-3765-823c-1523b03f1a4d,
ABANTUNGWA HIGH SCHOOL,29.711,-29.097,Secondary,ZAF,c7c0fdf9-5f84-366c-a2f5-5bcc3b4954ea,
ABAQULUSI HIGH SCHOOL,31.03820037841797,-27.473400115966797,Secondary,ZAF,3c0fea9c-2067-3fea-94b7-efec0093c3bd,
ABATHWA PRIMARY SCHOOL,30.9467,-28.2564,Primary,ZAF,9de4f48c-7e2f-3e9b-88c7-1e811e9c39eb,
ABBOTSPOORT,28.08448,-23.45145,Primary,ZAF,6c3cab41-1032-3b38-aa11-e8f9fe7527e8,
ABEDARE PRIMARY SCHOOL,18.629634857177734,-33.96528244018555,Primary,ZAF,ff4cf2fb-e5f4-354b-8e90-cf87c662da14,
ABEL,30.608802795410156,-23.493337631225586,Secondary,ZAF,76300c15-1b08-31fd-9727-abd48c6bc0cb,
ABEL MOTSHOANE SECONDARY SCHOOL,28.043947219848633,-25.480974197387695,Secondary,ZAF,03c3e442-f973-3ce9-9db2-192065ddb57c,
ABERDEEN FULL SERVICE SCHOOL,24.06113052368164,-32.47425079345703,Primary,ZAF,86c84fa1-9f73-3ca6-b14f-2b48258b4ad5,
ABERDEEN SECONDARY SCHOOL,24.061830520629883,-32.47385025024414,Secondary,ZAF,4fd0d0b0-0fdc-347f-9741-3e13e981d551,
ABINALA PRIMARY SCHOOL,28.210786819458008,-26.353500366210938,Primary,ZAF,136e7b7e-8b4a-3d18-a446-8a2d122e3b8c,
ABIOT KOLOBE,28.686287,-23.923658,Primary,ZAF,2eaa898e-869f-3694-9137-c953a5c22dea,
ABONTLE PRIMARY SCHOOL,26.87394142150879,-26.850669860839844,Primary,ZAF,301ea52c-09e0-3250-b5b2-a6e48b035188,
AB PHOKOMPE SECONDARY SCHOOL,27.703105926513672,-26.224056243896484,Secondary,ZAF,8bd652f0-c86c-3abc-b19a-d7ef4a8a945b,
ABRAHAM LEVY PRIMARY SCHOOL,25.56570053100586,-33.93000030517578,Primary,ZAF,162a73c7-1e47-3f64-86a4-9f23c25ab3d4,
ABRAHAM SEROTE,29.51030921936035,-25.044443130493164,Secondary,ZAF,c3044d27-8d03-3bb5-acbc-9ec22ac4f021,
ABRAHAM VANQA PRIMARY SCHOOL,27.30539,-31.48833,Primary,ZAF,3a4aa1c2-af88-3e09-a3e7-30a307a92be6,
ABRAM HLOPHE PRIMARY SCHOOL,28.175865173339844,-26.380611419677734,Primary,ZAF,0ee5b5ff-45d5-3cf5-8ab9-a443c2949e24,
ABRAM SIBASA,29.153907775878906,-23.783329010009766,Primary,ZAF,6e9f78e2-bc45-328a-8b54-394127090f7d,
A B SIWENDU SENIOR PRIMARY SCHOOL,28.342819213867188,-32.1109504699707,Primary,ZAF,e184a3a9-e421-3b4a-9128-90f8576173dd,
AB XUMA PRIMARY SCHOOL,27.920045852661133,-26.234825134277344,Primary,ZAF,46f79106-c195-32a2-8bc0-8bcef3996f33,
A B ZAMBODLA JUNIOR PRIMARY SCHOOL,25.632610321044922,-32.180599212646484,Primary,ZAF,e79176a1-0c26-36ba-8893-00ddffb4ed5b,
ACACIA PRIMARY SCHOOL,31.003999710083008,-29.652099609375,Primary,ZAF,cd8de871-8642-3e10-81d4-8bd278616a5f,
